Word, Frequency, Comment Frequency, Net Score
could, 59, 40, 923
doctor, 286, 139, 841
like, 136, 107, 837
one, 106, 84, 612
oh, 20, 13, 559
love, 70, 60, 554
time, 141, 89, 537
two, 20, 17, 523
see, 57, 39, 508
capaldi, 35, 25, 475
david, 10, 9, 470
show, 79, 60, 455
absolutely, 8, 8, 449
know, 60, 49, 448
going, 48, 36, 446
wait, 19, 17, 433
almost, 13, 13, 433
episode, 79, 63, 415
definitely, 13, 13, 411
used, 17, 13, 410
get, 67, 51, 397
also, 74, 53, 397
looks, 20, 17, 393
would, 100, 72, 387
scenes, 6, 6, 386
think, 90, 64, 383
good, 67, 51, 380
watching, 44, 32, 379
haha, 2, 2, 375
figure, 4, 4, 372
jones, 2, 2, 370
jessica, 2, 2, 370
march, 1, 1, 368
2015, 1, 1, 368
speech, 21, 20, 359
episodes, 82, 59, 353
first, 67, 56, 348
back, 48, 38, 347
seen, 29, 24, 346
ever, 28, 26, 345
god, 8, 8, 333
much, 58, 46, 330
tennant, 26, 23, 324
right, 24, 20, 320
clara, 63, 34, 320
year, 17, 14, 311
face, 14, 13, 311
great, 40, 34, 303
later, 11, 11, 291
wish, 9, 9, 288
awesome, 20, 20, 274
went, 23, 20, 273
started, 27, 26, 273
new, 74, 55, 273
deserves, 5, 5, 271
last, 34, 27, 266
netflix, 14, 12, 263
2, 39, 34, 261
sooner, 2, 2, 260
doctors, 45, 30, 259
tear, 1, 1, 257
surely, 1, 1, 257
another, 18, 17, 255
tears, 6, 6, 252
really, 84, 63, 250
want, 38, 28, 246
ago, 9, 8, 244
look, 25, 23, 243
take, 24, 22, 242
loved, 20, 19, 228
still, 37, 33, 226
run, 17, 13, 219
series, 61, 47, 218
every, 30, 24, 216
smith, 20, 17, 215
make, 35, 26, 214
people, 59, 34, 213
story, 25, 20, 212
well, 56, 40, 208
fantastic, 14, 13, 208
thought, 30, 25, 207
special, 14, 12, 207
away, 16, 12, 206
months, 12, 9, 205
heard, 10, 10, 204
streaming, 6, 5, 202
end, 48, 33, 201
work, 13, 13, 200
peter, 3, 3, 199
fun, 17, 15, 199
indian, 5, 4, 198
go, 40, 31, 198
saw, 9, 9, 197
matt, 17, 13, 197
rings, 3, 3, 194
nuwho, 14, 12, 193
course, 9, 9, 193
anyway, 4, 4, 191
throughout, 12, 9, 187
mostly, 7, 7, 185
watched, 25, 23, 184
though, 30, 26, 184
got, 44, 38, 183
death, 10, 10, 183
dad, 9, 8, 183
adorable, 7, 7, 183
clip, 5, 5, 180
ending, 7, 7, 179
class, 9, 7, 179
material, 4, 4, 178
ahtaken, 2, 2, 178
leaving, 11, 8, 176
tried, 5, 5, 175
sitting, 4, 4, 175
someday, 3, 3, 173
goes, 5, 5, 173
exactly, 5, 5, 172
comes, 6, 5, 171
everyone, 13, 11, 170
loss, 2, 2, 169
sound, 4, 4, 168
fan, 21, 19, 168
crappy, 3, 3, 168
catch, 3, 3, 168
father, 3, 3, 167
curiosity, 2, 2, 167
starts, 3, 3, 166
nearly, 2, 2, 166
full, 9, 8, 166
never, 48, 38, 165
meh, 2, 2, 165
things, 41, 23, 164
smiths, 2, 2, 164
verge, 1, 1, 163
sees, 1, 1, 163
raww, 1, 1, 163
mourning, 1, 1, 163
http, 35, 30, 163
feelings, 1, 1, 163
eccelson, 1, 1, 163
denial, 1, 1, 163
cant, 1, 1, 163
binging, 1, 1, 163
watch, 34, 27, 162
long, 30, 25, 161
damn, 8, 7, 161
hours, 5, 5, 160
even, 44, 36, 158
ca, 27, 26, 157
made, 31, 29, 152
https, 26, 22, 151
change, 16, 16, 151
feels, 12, 11, 149
scene, 19, 17, 147
hate, 13, 12, 146
wedding, 16, 14, 145
wonder, 5, 5, 144
years, 28, 20, 143
many, 25, 24, 142
interacting, 1, 1, 139
suddenly, 4, 4, 138
probably, 31, 27, 138
something, 42, 33, 137
early, 17, 16, 137
rare, 2, 2, 134
sorry, 10, 9, 132
amazing, 25, 22, 132
surprised, 9, 9, 130
remember, 22, 18, 128
wow, 12, 11, 126
days, 9, 9, 124
season, 38, 24, 123
generally, 7, 7, 121
dem, 1, 1, 120
cry, 6, 6, 117
party, 4, 4, 116
always, 36, 27, 115
best, 41, 33, 114
times, 16, 13, 113
thanks, 14, 13, 113
else, 11, 10, 113
different, 21, 17, 113
post, 8, 8, 112
kid, 5, 4, 112
blood, 15, 12, 112
thing, 25, 22, 111
family, 18, 13, 110
man, 20, 16, 109
blink, 11, 9, 109
act, 4, 4, 109
brilliant, 10, 10, 108
around, 22, 16, 108
11, 18, 12, 108
done, 13, 12, 107
day, 28, 22, 105
1, 31, 29, 105
whaat, 1, 1, 102
laugh, 1, 1, 102
happening, 1, 1, 102
emotionsit, 1, 1, 102
birthday, 1, 1, 102
sweet, 5, 5, 101
stuff, 14, 12, 101
took, 13, 13, 100
person, 15, 9, 100
9, 17, 14, 100
way, 52, 36, 99
bad, 40, 26, 99
let, 20, 15, 98
brought, 5, 5, 98
use, 14, 10, 96
part, 21, 16, 96
forgot, 6, 6, 96
sure, 20, 19, 95
normal, 6, 6, 95
fellow, 1, 1, 95
dead, 18, 17, 95
lot, 23, 18, 94
little, 28, 23, 94
hour, 32, 22, 94
someone, 17, 13, 93
since, 25, 22, 92
tom, 10, 9, 91
shows, 7, 6, 91
say, 23, 19, 91
said, 25, 23, 91
master, 8, 8, 91
yet, 10, 10, 90
rose, 44, 30, 90
awards, 4, 3, 90
shit, 2, 2, 89
far, 7, 7, 89
big, 22, 20, 88
us, 19, 16, 87
fez, 5, 5, 87
self, 3, 3, 86
culture, 2, 2, 86
beer, 2, 2, 86
war, 21, 19, 85
thinking, 7, 7, 85
performance, 5, 5, 85
wording, 1, 1, 84
please, 14, 13, 84
enough, 18, 15, 84
draw, 1, 1, 84
carried, 2, 2, 84
light, 4, 4, 83
sent, 22, 18, 82
seem, 11, 10, 82
soon, 9, 9, 81
anything, 24, 18, 81
acceptance, 2, 2, 81
5, 25, 22, 81
speed, 3, 3, 79
ep, 1, 1, 79
vote, 10, 9, 78
unfortunately, 3, 3, 78
super, 4, 4, 78
find, 20, 15, 78
came, 11, 9, 78
broom, 3, 2, 78
6, 13, 12, 78
completely, 6, 5, 77
amy, 50, 23, 77
mask, 4, 4, 76
access, 2, 2, 76
twice, 4, 4, 75
sit, 2, 2, 75
night, 12, 11, 75
give, 17, 14, 75
feel, 16, 15, 75
classic, 47, 25, 75
recent, 4, 3, 74
note, 10, 9, 74
meant, 4, 4, 74
journey, 3, 3, 74
dr, 5, 5, 74
written, 11, 7, 73
tardis, 38, 29, 73
powerful, 3, 3, 73
heaven, 18, 16, 73
create, 3, 2, 73
put, 18, 14, 72
previously, 3, 3, 72
