Word, Frequency, Comment Frequency, Net Score
drink, 38, 33, 341
take, 11, 10, 253
drunk, 54, 42, 235
get, 47, 37, 223
alcohol, 12, 10, 207
antibiotics, 5, 5, 195
mate, 10, 10, 189
10, 5, 5, 185
days, 9, 6, 182
honor, 4, 4, 180
due, 2, 2, 180
without, 4, 4, 179
type, 2, 2, 177
please, 2, 2, 176
fellow, 3, 3, 176
horrible, 2, 2, 174
caught, 1, 1, 173
bug, 1, 1, 173
like, 55, 40, 164
time, 29, 25, 134
shit, 30, 25, 133
beer, 33, 31, 131
got, 39, 34, 124
back, 19, 15, 110
next, 9, 9, 109
one, 27, 25, 107
much, 12, 12, 107
drinking, 41, 38, 105
done, 7, 7, 97
good, 40, 33, 96
vodka, 15, 13, 88
going, 15, 10, 79
drank, 13, 12, 79
also, 14, 13, 78
morning, 5, 5, 77
use, 9, 6, 73
yeah, 6, 6, 71
bacteria, 2, 2, 71
attack, 4, 2, 71
stupid, 2, 2, 70
dangerous, 2, 2, 69
seehearfeel, 1, 1, 68
panic, 1, 1, 68
nowadays, 1, 1, 68
irresponsible, 1, 1, 68
bo, 1, 1, 68
go, 16, 16, 64
cant, 3, 3, 63
together, 5, 5, 62
easy, 3, 3, 62
ice, 5, 5, 61
super, 4, 4, 60
kills, 1, 1, 60
friends, 23, 21, 59
know, 18, 17, 58
stitches, 2, 2, 57
today, 6, 6, 55
walking, 4, 4, 54
really, 16, 16, 54
loko, 3, 3, 54
four, 3, 3, 54
fell, 5, 5, 54
day, 18, 16, 54
year, 6, 6, 53
mixed, 3, 3, 53
smirnoff, 2, 2, 52
luckily, 2, 2, 52
hit, 3, 2, 52
head, 2, 2, 52
lamp, 2, 2, 51
tripped, 1, 1, 50
snack, 1, 1, 50
post, 3, 3, 50
patch, 1, 1, 50
concussion, 1, 1, 50
clinic, 1, 1, 50
c4, 1, 1, 50
backwards, 1, 1, 50
711, 1, 1, 50
woke, 7, 7, 48
floor, 6, 4, 48
fuck, 19, 17, 46
wine, 20, 17, 44
way, 18, 16, 44
little, 8, 6, 44
first, 11, 9, 44
people, 12, 12, 42
kitchen, 6, 5, 42
hate, 5, 5, 42
friend, 16, 15, 42
let, 8, 7, 41
still, 13, 12, 40
woo, 1, 1, 39
house, 14, 11, 39
shirtless, 2, 2, 38
medication, 3, 3, 38
man, 17, 16, 38
fine, 9, 9, 38
went, 10, 9, 37
thing, 9, 9, 37
room, 8, 7, 36
love, 16, 12, 36
evidence, 1, 1, 36
tonight, 16, 14, 35
us, 14, 12, 34
many, 5, 5, 34
long, 9, 8, 34
6, 4, 4, 34
nothing, 6, 6, 33
lot, 8, 8, 33
close, 7, 6, 33
bottle, 17, 14, 33
lol, 3, 3, 32
every, 10, 10, 32
cheers, 16, 16, 32
liquor, 4, 4, 31
great, 8, 8, 31
may, 6, 5, 30
double, 5, 4, 30
cold, 6, 5, 30
alone, 14, 14, 30
would, 17, 16, 29
want, 12, 12, 29
looks, 7, 7, 29
2, 6, 6, 29
seconds, 2, 2, 28
getting, 5, 5, 28
enough, 5, 5, 28
ca, 4, 4, 28
booze, 9, 8, 28
weekend, 7, 6, 27
tastes, 6, 5, 27
suppose, 1, 1, 27
never, 15, 13, 27
8, 4, 4, 27
kept, 5, 5, 26
feel, 9, 9, 26
even, 10, 9, 26
whatever, 6, 5, 25
think, 7, 6, 25
kiss, 2, 2, 25
http, 9, 9, 25
girlfriend, 8, 8, 25
brought, 4, 4, 25
bed, 15, 11, 25
alcoholic, 4, 4, 25
3, 7, 7, 25
work, 10, 8, 24
times, 6, 6, 24
see, 4, 4, 24
https, 9, 6, 24
face, 7, 5, 24
whiskey, 9, 8, 23
seems, 2, 2, 23
night, 15, 14, 23
make, 4, 4, 23
half, 5, 4, 23
give, 4, 4, 23
away, 7, 7, 23
wrong, 3, 3, 22
photo, 2, 2, 22
occasion, 1, 1, 22
look, 5, 4, 22
light, 3, 3, 22
later, 6, 6, 22
important, 5, 3, 22
happy, 7, 7, 22
discuss, 1, 1, 22
barely, 3, 3, 22
15, 6, 6, 22
though, 9, 7, 21
six, 3, 3, 21
remember, 16, 12, 21
pretty, 10, 9, 21
na, 10, 9, 21
makes, 7, 6, 21
left, 5, 5, 21
home, 6, 6, 21
high, 4, 4, 21
hang, 3, 3, 21
dorm, 4, 4, 21
wanted, 6, 6, 20
truth, 2, 2, 20
something, 8, 6, 20
smiles, 1, 1, 20
smile, 1, 1, 20
peoples, 1, 1, 20
need, 11, 11, 20
genuine, 1, 1, 20
favorite, 5, 5, 20
drinks, 3, 3, 20
bad, 8, 6, 20
water, 10, 7, 19
rather, 3, 3, 19
new, 8, 8, 19
made, 8, 7, 19
last, 10, 10, 19
goes, 2, 2, 19
fucked, 8, 8, 19
feet, 2, 2, 19
enjoy, 5, 5, 19
dont, 5, 5, 19
damn, 10, 10, 19
another, 6, 6, 19
1, 4, 3, 19
ta, 4, 3, 18
quickly, 5, 3, 18
hammered, 3, 3, 18
girls, 6, 5, 18
girl, 2, 2, 18
fucking, 10, 8, 18
fisting, 1, 1, 18
feeling, 8, 7, 18
dad, 11, 8, 18
classic, 1, 1, 18
4, 7, 6, 18
weeks, 6, 5, 17
thats, 7, 5, 17
ten, 1, 1, 17
sat, 1, 1, 17
pose, 1, 1, 17
played, 2, 2, 17
picking, 1, 1, 17
phones, 1, 1, 17
phone, 3, 3, 17
passed, 6, 6, 17
party, 9, 9, 17
memories, 1, 1, 17
incidents, 1, 1, 17
iimgurcomatpc0p6jpg, 1, 1, 17
huge, 3, 3, 17
happens, 2, 2, 17
glad, 1, 1, 17
dare, 2, 1, 17
crush, 1, 1, 17
could, 5, 5, 17
cameras, 1, 1, 17
bar, 11, 7, 17
air, 4, 2, 17
actually, 7, 5, 17
tried, 6, 6, 16
single, 8, 7, 16
right, 8, 8, 16
live, 6, 6, 16
life, 7, 7, 16
bro, 7, 6, 16
ass, 8, 8, 16
able, 3, 3, 16
well, 4, 3, 15
trying, 3, 3, 15
taste, 5, 3, 15
said, 8, 8, 15
old, 8, 6, 15
nose, 12, 4, 15
hey, 9, 9, 15
haha, 4, 4, 15
food, 5, 4, 15
different, 3, 3, 15
brew, 3, 3, 15
blacked, 4, 4, 15
black, 4, 4, 15
best, 7, 7, 15
wo, 3, 3, 14
whole, 7, 7, 14
usually, 4, 4, 14
two, 3, 3, 14
swallow, 3, 2, 14
stop, 2, 2, 14
sneak, 3, 3, 14
share, 3, 3, 14
sell, 2, 2, 14
saint, 2, 2, 14
reasonable, 2, 2, 14
parts, 2, 2, 14
mouth, 4, 3, 14
lmao, 4, 4, 14
helped, 2, 2, 14
hell, 3, 3, 14
forgot, 2, 2, 14
edit, 6, 5, 14
dead, 3, 3, 14
cuz, 4, 4, 14
cut, 1, 1, 14
become, 3, 3, 14
anyway, 4, 4, 14
add, 2, 2, 14
7, 2, 2, 14
years, 7, 7, 13
win, 2, 2, 13
telling, 1, 1, 13
sobriety, 1, 1, 13
shopping, 1, 1, 13
shoes, 1, 1, 13
sensor, 1, 1, 13
say, 3, 3, 13
ready, 3, 2, 13
randy, 1, 1, 13
pushing, 3, 2, 13
prices, 2, 2, 13
pour, 3, 3, 13
name, 2, 2, 13
least, 3, 3, 13
intimate, 1, 1, 13
installing, 1, 1, 13
details, 1, 1, 13
decided, 7, 7, 13
couple, 3, 3, 13
computer, 1, 1, 13
car, 2, 2, 13
broke, 3, 3, 13
anything, 2, 2, 13
5, 4, 3, 13
three, 3, 3, 12
theres, 3, 2, 12
sweet, 3, 2, 12
stores, 2, 2, 12
sip, 2, 2, 12
quite, 2, 2, 12
pls, 2, 2, 12
pack, 3, 3, 12
mom, 5, 3, 12
might, 3, 3, 12
lets, 3, 3, 12
guys, 5, 4, 12
guess, 2, 2, 12
glass, 7, 5, 12
found, 7, 6, 12
dogs, 3, 2, 12
brolokos, 1, 1, 12
bourbon, 2, 2, 12
bit, 3, 2, 12
better, 6, 6, 12
wtf, 1, 1, 11
writing, 1, 1, 11
victory, 1, 1, 11
vapors, 1, 1, 11
ugly, 1, 1, 11
typed, 1, 1, 11
tongue, 3, 1, 11
tissue, 1, 1, 11
thru, 4, 1, 11
throat, 3, 1, 11
thousands, 1, 1, 11
therefore, 1, 1, 11
thereafter, 1, 1, 11
tbh, 1, 1, 11
tasting, 1, 1, 11
tasteless, 1, 1, 11
swallowing, 2, 1, 11
succession, 1, 1, 11
straight, 3, 3, 11
stole, 2, 2, 11
stiff, 1, 1, 11
sticks, 1, 1, 11
steps, 1, 1, 11
step, 1, 1, 11
spelled, 1, 1, 11
sour, 3, 1, 11
sorry, 3, 3, 11
soften, 1, 1, 11
snot, 1, 1, 11
smelltaste, 1, 1, 11
smell, 4, 1, 11
slimy, 1, 1, 11
skunk, 1, 1, 11
shortly, 2, 1, 11
shitty, 4, 4, 11
seriums, 1, 1, 11
serious, 1, 1, 11
sensation, 1, 1, 11
secs, 1, 1, 11
second, 1, 1, 11
safe, 1, 1, 11
runs, 2, 1, 11
push, 1, 1, 11
pun, 1, 1, 11
profit, 1, 1, 11
probably, 3, 3, 11
practice, 1, 1, 11
practically, 1, 1, 11
pipes, 1, 1, 11
pile, 1, 1, 11
payload, 1, 1, 11
passing, 2, 1, 11
particels, 1, 1, 11
pants, 2, 2, 11
outside, 1, 1, 11
noticed, 1, 1, 11
naming, 1, 1, 11
mouthpartthingy, 1, 1, 11
mouthful, 1, 1, 11
method, 2, 1, 11
mess, 1, 1, 11
master, 1, 1, 11
mainly, 1, 1, 11
lemmon, 2, 1, 11
kite, 1, 1, 11
isnt, 1, 1, 11
intended, 1, 1, 11
inhaling, 1, 1, 11
inhale, 3, 1, 11
importantly, 1, 1, 11
hoy, 1, 1, 11
healthy, 1, 1, 11
hard, 2, 2, 11
halp, 1, 1, 11
ge, 1, 1, 11
fresh, 1, 1, 11
following, 1, 1, 11
flavours, 3, 1, 11
flavour, 1, 1, 11
exhale, 1, 1, 11
example, 1, 1, 11
everyone, 3, 3, 11
entirely, 1, 1, 11
effective, 1, 1, 11
drive, 1, 1, 11
drafts, 2, 2, 11
downed, 1, 1, 11
distinguish, 1, 1, 11
detects, 1, 1, 11
delay, 1, 1, 11
crutial, 1, 1, 11
creating, 1, 1, 11
correct, 2, 1, 11
connectors, 1, 1, 11
connections, 1, 1, 11
connect, 1, 1, 11
concious, 2, 1, 11
clogged, 1, 1, 11
cleaner, 3, 2, 11
chugg, 1, 1, 11
cheeks, 1, 1, 11
burning, 1, 1, 11
breathe, 1, 1, 11
bottleabooze, 1, 1, 11
bornben, 1, 1, 11
board, 1, 1, 11
bitter, 3, 1, 11
bite, 1, 1, 11
bets, 1, 1, 11
balloons, 1, 1, 11
art, 1, 1, 11
arnold, 1, 1, 11
arm, 2, 2, 11
anotom, 1, 1, 11
anatomi, 1, 1, 11
ana, 1, 1, 11
alright, 1, 1, 11
allowed, 1, 1, 11
aka, 1, 1, 11
abit, 1, 1, 11
05pm, 1, 1, 11
worse, 3, 3, 10
watermelon, 1, 1, 10
uncle, 1, 1, 10
try, 4, 4, 10
totally, 3, 3, 10
throwing, 4, 4, 10
story, 4, 4, 10
staircase, 1, 1, 10
son, 4, 4, 10
shirt, 1, 1, 10
school, 3, 3, 10
parents, 6, 5, 10
oh, 8, 7, 10
mexican, 1, 1, 10
litre, 1, 1, 10
lemon, 1, 1, 10
late, 3, 3, 10
illegal, 1, 1, 10
grab, 2, 2, 10
flavor, 2, 1, 10
blacking, 1, 1, 10
21, 1, 1, 10
ya, 8, 6, 9
working, 3, 3, 9
week, 2, 2, 9
watching, 4, 3, 9
valentine, 4, 4, 9
took, 5, 5, 9
tomorrow, 4, 4, 9
thinking, 3, 3, 9
sure, 5, 5, 9
spend, 3, 3, 9
sleep, 7, 5, 9
since, 4, 4, 9
sick, 4, 4, 9
research, 2, 2, 9
problem, 2, 2, 9
pretend, 1, 1, 9
place, 3, 3, 9
less, 3, 3, 9
im, 7, 7, 9
fridge, 2, 2, 9
everything, 7, 7, 9
everclear, 2, 2, 9
ended, 6, 5, 9
cheap, 6, 6, 9
cause, 4, 4, 9
buy, 5, 5, 9
apparently, 4, 4, 9
ytoiu, 1, 1, 8
younger, 2, 2, 8
yopu, 1, 1, 8
ye, 1, 1, 8
words, 1, 1, 8
wedding, 4, 2, 8
valentines, 4, 4, 8
upvoting, 1, 1, 8
tjat, 1, 1, 8
thought, 3, 3, 8
taking, 4, 3, 8
sun, 1, 1, 8
studying, 2, 2, 8
stil, 1, 1, 8
soon, 3, 3, 8
someone, 3, 3, 8
sm, 1, 1, 8
serving, 2, 2, 8
senteneces, 1, 1, 8
says, 2, 2, 8
rpobele, 1, 1, 8
realized, 2, 2, 8
pray, 2, 2, 8
p, 3, 3, 8
os, 1, 1, 8
ok, 2, 2, 8
north, 1, 1, 8
noon, 1, 1, 8
move, 2, 2, 8
ladies, 2, 2, 8
korea, 1, 1, 8
kidding, 2, 1, 8
incredible, 1, 1, 8
hurts, 1, 1, 8
holy, 1, 1, 8
holey, 1, 1, 8
guy, 4, 3, 8
god, 5, 5, 8
gentledrunks, 1, 1, 8
fucki8ng, 1, 1, 8
feels, 3, 3, 8
favourite, 2, 2, 8
fallingh, 1, 1, 8
everyonbe, 1, 1, 8
evening, 3, 3, 8
euphnism, 1, 1, 8
dun, 1, 1, 8
die, 3, 3, 8
destiny, 1, 1, 8
cvhildredn, 1, 1, 8
come, 5, 4, 8
coffee, 4, 3, 8
chicken, 3, 3, 8
carolina, 1, 1, 8
boys, 2, 2, 8
blasted, 1, 1, 8
b4ried, 1, 1, 8
b, 1, 1, 8
assleedd, 1, 1, 8
asked, 3, 3, 8
aree, 1, 1, 8
already, 3, 3, 8
yes, 3, 3, 7
yay, 2, 2, 7
woman, 3, 3, 7
wasting, 1, 1, 7
wan, 5, 4, 7
used, 3, 3, 7
threw, 2, 2, 7
tall, 2, 2, 7
steel, 2, 2, 7
split, 2, 2, 7
sources, 1, 1, 7
short, 2, 2, 7
session, 1, 1, 7
rip, 2, 2, 7
reserve, 2, 2, 7
reputable, 1, 1, 7
pussy, 1, 1, 7
precaution, 1, 1, 7
pleasure, 2, 1, 7
playing, 5, 4, 7
play, 6, 6, 7
person, 4, 4, 7
past, 4, 4, 7
pains, 1, 1, 7
nonsensical, 1, 1, 7
must, 2, 2, 7
minutes, 3, 3, 7
lucky, 2, 2, 7
listening, 4, 4, 7
label, 1, 1, 7
keep, 4, 4, 7
imgurcomdozaxk4, 1, 1, 7
