Word, Frequency, Comment Frequency, Net Score
looks, 100, 95, 3762
good, 60, 56, 2614
one, 33, 30, 2449
video, 3, 3, 2346
instances, 1, 1, 2344
like, 73, 66, 1462
recipe, 53, 50, 1376
water, 15, 8, 1324
2, 21, 14, 1202
5, 8, 8, 1197
work, 11, 9, 1168
4, 15, 12, 1164
nice, 18, 17, 1161
many, 6, 6, 1157
list, 3, 3, 1154
quite, 5, 5, 1097
ever, 14, 14, 1073
hand, 7, 7, 1064
ingredients, 6, 5, 1062
bring, 5, 4, 1060
results, 2, 2, 1054
possibly, 2, 2, 1051
total, 1, 1, 1049
speak, 1, 1, 1049
outgregious, 1, 1, 1049
lists, 1, 1, 1049
grand, 1, 1, 1049
false, 1, 1, 1049
fails, 1, 1, 1049
advertising, 1, 1, 1049
advertised, 1, 1, 1049
added, 1, 1, 1049
233, 1, 1, 1049
made, 30, 28, 902
wife, 7, 6, 834
dude, 4, 4, 804
instead, 10, 10, 756
put, 12, 12, 506
top, 7, 7, 465
bowl, 15, 7, 456
flower, 2, 2, 448
x, 1, 1, 445
opening, 1, 1, 445
imploded, 1, 1, 445
mine, 9, 9, 442
ball, 6, 5, 300
awesome, 11, 11, 288
tried, 7, 6, 277
pan, 11, 6, 276
walnut, 1, 1, 267
single, 1, 1, 267
kahlua, 1, 1, 267
brownies, 1, 1, 267
day, 15, 15, 244
much, 19, 19, 240
http, 25, 23, 240
valentine, 18, 17, 234
great, 29, 26, 218
make, 37, 35, 212
fireplace, 3, 3, 211
magic, 2, 2, 209
lit, 2, 2, 209
chocolate, 23, 10, 192
spent, 6, 6, 188
used, 15, 14, 184
disappointing, 1, 1, 165
using, 11, 10, 164
https, 24, 11, 144
look, 28, 27, 137
interesting, 3, 3, 137
really, 22, 21, 133
white, 13, 8, 132
well, 14, 13, 132
removed, 2, 2, 130
also, 19, 16, 129
12, 11, 8, 123
weeks, 4, 4, 121
last, 9, 9, 121
beautiful, 9, 9, 121
1, 24, 11, 118
3, 14, 11, 117
lahey, 10, 8, 116
delicious, 31, 31, 115
would, 25, 25, 114
found, 4, 4, 114
keep, 7, 7, 113
thank, 4, 4, 110
rfood, 5, 5, 109
friends, 2, 2, 109
amazing, 24, 24, 109
9, 2, 2, 108
10, 4, 4, 108
uorvane, 2, 2, 107
call, 3, 3, 107
references, 3, 2, 106
6, 6, 5, 106
posts, 3, 2, 105
order, 3, 3, 104
7, 4, 4, 104
14, 3, 3, 104
need, 11, 9, 103
album, 2, 2, 103
uvaro, 1, 1, 102
upowersimon, 1, 1, 102
upoledra, 1, 1, 102
umandaralicious, 1, 1, 102
udavidwinters, 1, 1, 102
track, 1, 1, 102
titles, 1, 1, 102
supplying, 1, 1, 102
particular, 1, 1, 102
nailed, 2, 2, 102
morning, 1, 1, 102
incomplete, 1, 1, 102
imgurcomalr4n1, 1, 1, 102
imgur, 1, 1, 102
images, 1, 1, 102
get, 24, 21, 102
explicitly, 1, 1, 102
descriptions, 1, 1, 102
credit, 1, 1, 102
content, 1, 1, 102
choose, 1, 1, 102
artists, 1, 1, 102
artist, 1, 1, 102
art, 2, 2, 102
8, 1, 1, 102
13, 1, 1, 102
11, 1, 1, 102
time, 23, 21, 95
jim, 6, 6, 95
got, 14, 13, 90
fucking, 8, 8, 88
went, 10, 9, 86
ended, 4, 4, 82
man, 7, 7, 81
expensive, 3, 3, 79
making, 13, 13, 78
every, 6, 6, 78
eat, 12, 11, 78
bread, 22, 16, 77
trying, 3, 3, 76
