Word, Frequency, Comment Frequency, Net Score
would, 31, 30, 9730
years, 28, 17, 9529
think, 15, 15, 8926
every, 14, 14, 8841
man, 76, 21, 8767
well, 23, 14, 8467
says, 55, 22, 8259
time, 26, 23, 8133
head, 27, 13, 7252
monk, 35, 12, 7244
asks, 10, 9, 7120
get, 52, 39, 7022
15, 17, 11, 6914
finds, 3, 3, 6676
hilary, 4, 4, 6483
could, 27, 22, 6236
say, 21, 18, 6234
another, 10, 8, 6162
like, 51, 44, 6148
replies, 12, 8, 5920
allowed, 4, 4, 5869
since, 4, 4, 5772
goes, 15, 9, 5729
yet, 6, 6, 5686
little, 7, 7, 5666
nothing, 5, 4, 5649
brother, 21, 9, 5588
really, 13, 13, 5551
begins, 2, 2, 5528
monks, 15, 5, 5513
away, 11, 11, 5499
donated, 4, 4, 5463
wish, 4, 4, 5432
anything, 2, 2, 5421
actually, 8, 8, 5334
bed, 7, 7, 5241
got, 20, 17, 5190
sitting, 4, 4, 5151
right, 12, 11, 5130
yes, 11, 10, 5114
done, 6, 6, 5097
order, 8, 3, 5092
nods, 5, 2, 5088
complain, 2, 2, 5088
join, 4, 4, 5078
fucking, 6, 6, 5078
best, 10, 10, 5053
walks, 5, 4, 5047
bit, 6, 6, 5028
silent, 3, 2, 5022
thinking, 2, 2, 5007
leaving, 3, 3, 5003
ok, 4, 3, 5002
speak, 2, 2, 5001
sees, 2, 2, 5001
thin, 1, 1, 5000
sugar, 1, 1, 5000
sighs, 1, 1, 5000
sheets, 1, 1, 5000
responds, 1, 1, 5000
refectory, 1, 1, 5000
porridge, 1, 1, 5000
passed, 1, 1, 5000
pass, 3, 1, 5000
fifteen, 1, 1, 5000
dormitory, 1, 1, 5000
approaches, 1, 1, 5000
acknowledgement, 2, 1, 5000
one, 50, 43, 4694
know, 24, 19, 4585
took, 10, 10, 4360
voice, 3, 3, 4191
husband, 4, 4, 4190
ages, 2, 2, 4188
also, 6, 6, 3930
ladies, 3, 3, 3898
worry, 1, 1, 3881
780, 1, 1, 3881
people, 15, 13, 3807
comes, 9, 8, 2924
bernie, 8, 8, 2920
makes, 6, 6, 2848
guy, 22, 16, 2805
seeing, 3, 3, 2737
least, 2, 2, 2719
honest, 3, 3, 2586
10, 12, 9, 2560
bucks, 1, 1, 2428
78mil, 1, 1, 2428
make, 18, 18, 2288
complaining, 2, 2, 2262
else, 5, 5, 2213
later, 6, 6, 2179
karma, 4, 4, 2178
tell, 11, 6, 2127
comment, 3, 3, 2126
45, 2, 2, 2120
wahoo, 1, 1, 2119
u, 1, 1, 2119
highest, 1, 1, 2119
bother, 1, 1, 2119
__, 1, 1, 2119
_, 6, 2, 2119
change, 5, 5, 2054
answers, 4, 3, 2051
coffee, 13, 9, 1916
2, 13, 10, 1841
million, 4, 4, 1818
floor, 7, 5, 1766
everyone, 5, 5, 1763
ever, 10, 9, 1759
money, 7, 6, 1744
year, 6, 6, 1739
second, 9, 8, 1725
five, 7, 4, 1720
place, 4, 4, 1701
bartender, 12, 6, 1696
wastes, 1, 1, 1675
speech, 1, 1, 1675
disturbing, 1, 1, 1675
bill, 3, 3, 1670
week, 5, 5, 1669
sir, 6, 5, 1667
trump, 2, 2, 1664
48, 2, 2, 1663
dimes, 6, 5, 1653
oh, 21, 19, 1651
want, 10, 10, 1647
orders, 4, 3, 1647
nickels, 3, 3, 1641
bar, 10, 6, 1639
grammar, 3, 3, 1634
client, 4, 3, 1633
takes, 4, 4, 1632
help, 4, 4, 1632
wallet, 2, 2, 1630
throws, 5, 3, 1630
teehee, 2, 2, 1630
smelled, 2, 2, 1630
ground, 6, 5, 1630
enters, 3, 2, 1630
edit, 2, 2, 1630
cup, 2, 2, 1630
cost, 2, 2, 1630
alright, 2, 2, 1630
260, 2, 2, 1630
26, 2, 2, 1630
revenge, 1, 1, 1629
picks, 1, 1, 1629
pays, 1, 1, 1629
opportunity, 1, 1, 1629
involved, 1, 1, 1629
fight, 1, 1, 1629
extra, 1, 1, 1629
dollar, 1, 1, 1629
brings, 2, 1, 1629
small, 4, 4, 1628
said, 23, 14, 1628
1, 4, 4, 1553
much, 10, 10, 1521
amount, 1, 1, 1514
looked, 8, 8, 1510
two, 15, 9, 1501
day, 16, 11, 1465
woman, 17, 14, 1440
home, 7, 6, 1356
joke, 46, 45, 1336
made, 17, 14, 1276
old, 16, 10, 1257
see, 34, 32, 1231
give, 11, 9, 1219
going, 17, 13, 1197
came, 6, 5, 1186
ca, 7, 5, 1185
back, 17, 11, 1162
found, 9, 8, 1144
biggest, 2, 2, 1130
went, 13, 8, 1118
course, 4, 4, 1090
three, 6, 4, 1088
last, 12, 8, 1083
humans, 4, 3, 1080
driving, 9, 3, 1076
stereotypically, 1, 1, 1066
perceived, 1, 1, 1066
male, 1, 1, 1066
female, 1, 1, 1066
earned, 1, 1, 1066
earn, 1, 1, 1066
100, 1, 1, 1066
078, 1, 1, 1066
dark, 5, 5, 1040
breaks, 2, 2, 949
thought, 18, 18, 943
first, 25, 19, 929
hangs, 2, 2, 910
work, 9, 8, 901
giving, 2, 2, 878
starts, 6, 5, 873
died, 3, 3, 861
take, 10, 10, 854
wait, 4, 4, 795
need, 10, 9, 792
go, 16, 11, 784
light, 4, 4, 783
person, 5, 5, 780
still, 10, 10, 765
boss, 5, 2, 762
working, 2, 2, 761
talking, 2, 2, 761
workers, 1, 1, 760
upsidedown, 1, 1, 760
gone, 1, 1, 760
follow, 1, 1, 760
factory, 1, 1, 760
crazy, 1, 1, 760
ceiling, 1, 1, 760
bulb, 1, 1, 760
perfectly, 3, 3, 745
eating, 5, 4, 740
room, 4, 3, 731
smoke, 4, 2, 721
stupid, 6, 6, 719
happened, 7, 7, 719
bad, 13, 13, 713
surprise, 3, 3, 709
minutes, 11, 7, 701
walking, 3, 3, 696
looks, 8, 6, 689
job, 6, 4, 686
felt, 4, 4, 674
train, 9, 3, 673
killed, 5, 4, 673
somehow, 3, 2, 669
conductor, 4, 3, 663
eat, 4, 3, 658
pulled, 2, 2, 655
sorry, 4, 4, 654
fast, 4, 4, 653
friend, 2, 2, 652
banana, 4, 2, 649
fine, 2, 2, 648
even, 12, 10, 648
look, 7, 7, 646
please, 11, 10, 644
electrocution, 2, 2, 644
managed, 2, 2, 643
loved, 3, 2, 643
without, 3, 2, 642
thing, 5, 5, 642
stole, 3, 3, 642
death, 7, 3, 642
air, 2, 2, 642
learned, 2, 2, 641
flew, 4, 2, 640
filled, 4, 2, 640
possible, 2, 2, 639
drove, 2, 2, 639
court, 3, 2, 639
bulgaria, 2, 2, 639
watching, 3, 3, 638
unharmed, 3, 1, 638
unfortunately, 1, 1, 638
trial, 1, 1, 638
thrown, 1, 1, 638
switch, 4, 2, 638
strapping, 1, 1, 638
strapped, 3, 1, 638
speechless, 1, 1, 638
sparks, 3, 1, 638
single, 2, 1, 638
sign, 1, 1, 638
sentenced, 2, 1, 638
sentence, 1, 1, 638
resulting, 1, 1, 638
requested, 3, 1, 638
reckless, 2, 1, 638
protocol, 1, 1, 638
needless, 1, 1, 638
meant, 1, 1, 638
meal, 4, 1, 638
mate, 1, 1, 638
manages, 1, 1, 638
living, 1, 1, 638
lesson, 1, 1, 638
law, 1, 1, 638
killing, 1, 1, 638
intervention, 1, 1, 638
guilty, 1, 1, 638
free, 2, 1, 638
flown, 1, 1, 638
final, 2, 1, 638
failed, 1, 1, 638
executioner, 3, 1, 638
execution, 4, 1, 638
electric, 3, 1, 638
dream, 1, 1, 638
divine, 1, 1, 638
crashed, 1, 1, 638
crash, 2, 1, 638
child, 1, 1, 638
chair, 3, 1, 638
caused, 2, 1, 638
bulgarian, 1, 1, 638
bananas, 5, 1, 638
abandon, 1, 1, 638
incident, 2, 2, 635
next, 9, 8, 624
asked, 11, 7, 614
pulling, 1, 1, 602
leg, 1, 1, 602
cock, 1, 1, 602
someone, 12, 11, 600
finished, 2, 2, 596
mother, 7, 6, 594
laughing, 12, 8, 590
god, 8, 8, 579
night, 15, 9, 571
family, 4, 3, 568
mike, 9, 6, 563
find, 11, 8, 562
gives, 2, 2, 557
20, 3, 3, 556
hunt, 9, 5, 555
http, 8, 8, 549
open, 3, 3, 548
start, 6, 5, 543
never, 12, 12, 542
yeah, 4, 4, 540
mom, 7, 3, 540
dad, 5, 4, 533
similar, 3, 3, 532
silence, 3, 3, 532
dammit, 3, 3, 530
talked, 2, 2, 529
watched, 1, 1, 528
underwood, 1, 1, 528
thus, 1, 1, 528
thoughtful, 1, 1, 528
sam, 2, 1, 528
replying, 1, 1, 528
record, 1, 1, 528
performance, 2, 1, 528
hmm, 1, 1, 528
grin, 1, 1, 528
grammys, 1, 1, 528
familiar, 1, 1, 528
carrie, 2, 2, 528
asses, 1, 1, 528
dinner, 4, 4, 525
making, 3, 2, 524
heard, 17, 17, 520
returns, 3, 2, 509
many, 9, 8, 502
door, 21, 5, 502
become, 7, 4, 500
way, 11, 10, 485
hands, 3, 3, 485
car, 11, 7, 485
morning, 4, 4, 478
must, 9, 7, 474
knows, 5, 4, 470
reminds, 3, 3, 469
come, 4, 4, 469
monastery, 7, 2, 467
knocks, 4, 2, 465
finally, 9, 8, 464
taken, 2, 2, 463
mind, 2, 2, 463
good, 18, 18, 459
end, 3, 3, 455
5, 3, 3, 446
ask, 4, 3, 440
trying, 4, 4, 438
show, 3, 3, 438
leave, 3, 3, 437
fix, 2, 2, 437
travel, 2, 2, 431
behind, 4, 3, 431
answer, 2, 2, 431
feed, 2, 2, 430
world, 3, 3, 428
great, 5, 5, 428
beautiful, 5, 3, 428
number, 7, 3, 427
us, 2, 2, 426
source, 3, 3, 426
searching, 3, 3, 426
needed, 3, 3, 426
earth, 3, 2, 426
broke, 3, 3, 426
stay, 4, 3, 425
clear, 2, 2, 424
life, 4, 4, 423
gold, 2, 2, 423
figure, 2, 2, 423
distraught, 2, 2, 423
chance, 2, 2, 423
sound, 12, 2, 422
lead, 2, 2, 422
keys, 3, 2, 422
wooden, 2, 1, 421
willing, 1, 1, 421
utterly, 1, 1, 421
unlocks, 1, 1, 421
unlike, 1, 1, 421
turns, 2, 1, 421
tries, 1, 1, 421
trembling, 1, 1, 421
traveled, 1, 1, 421
tosses, 1, 1, 421
task, 1, 1, 421
strip, 1, 1, 421
strange, 1, 1, 421
stone, 2, 1, 421
state, 1, 1, 421
solid, 2, 2, 421
slowly, 1, 1, 421
sleep, 1, 1, 421
sirens, 1, 1, 421
ship, 1, 1, 421
shall, 1, 1, 421
sets, 1, 1, 421
self, 1, 1, 421
seductive, 2, 1, 421
seduced, 1, 1, 421
sand, 1, 1, 421
sacred, 1, 1, 421
ruby, 1, 1, 421
reply, 3, 1, 421
reflective, 1, 1, 421
quest, 1, 1, 421
pushes, 1, 1, 421
possibly, 1, 1, 421
pleads, 1, 1, 421
perpetual, 1, 1, 421
pearl, 1, 1, 421
opens, 2, 1, 421
odysseus, 1, 1, 421
nearly, 1, 1, 421
near, 1, 1, 421
mystery, 1, 1, 421
knob, 1, 1, 421
knees, 1, 1, 421
key, 3, 1, 421
hears, 1, 1, 421
haunting, 1, 1, 421
grayhaired, 1, 1, 421
grass, 1, 1, 421
grains, 1, 1, 421
graciously, 1, 1, 421
given, 1, 1, 421
gathering, 1, 1, 421
forget, 1, 1, 421
forced, 1, 1, 421
falling, 1, 1, 421
fall, 1, 1, 421
exact, 1, 1, 421
emerald, 1, 1, 421
doors, 1, 1, 421
discover, 1, 1, 421
diamond, 1, 1, 421
design, 1, 1, 421
definite, 1, 1, 421
deception, 1, 1, 421
crashing, 1, 1, 421
congratulations, 1, 1, 421
blades, 1, 1, 421
beyond, 1, 1, 421
asleep, 1, 1, 421
apprehensive, 1, 1, 421
amazed, 1, 1, 421
accept, 1, 1, 421
able, 1, 1, 421
name, 11, 10, 420
road, 2, 2, 417
stand, 3, 3, 412
told, 10, 9, 407
step, 1, 1, 403
fattest, 1, 1, 403
adult, 1, 1, 403
homeless, 2, 2, 398
drop, 2, 2, 398
anywhere, 2, 2, 397
dated, 2, 2, 396
put, 4, 3, 395
guess, 3, 3, 373
aloha, 2, 2, 358
temperature, 1, 1, 357
myth, 3, 3, 348
women, 7, 7, 340
mean, 7, 7, 335
believe, 2, 2, 327
something, 9, 7, 324
cents, 5, 5, 322
anymore, 2, 2, 316
anyone, 3, 3, 314
note, 1, 1, 311
70, 1, 1, 311
serious, 3, 3, 310
gets, 6, 6, 306
girlfriend, 3, 3, 302
humor, 7, 7, 301
words, 9, 6, 283
men, 3, 3, 277
bitter, 1, 1, 270
wife, 27, 7, 269
worth, 4, 4, 265
screw, 1, 1, 260
lightbulb, 1, 1, 260
admit, 2, 2, 259
thanks, 6, 6, 258
text, 1, 1, 258
messages, 1, 1, 258
times, 4, 4, 251
hard, 6, 6, 251
cold, 6, 5, 247
asshole, 7, 4, 247
18, 3, 3, 245
front, 6, 6, 242
smile, 1, 1, 240
iimgurcomw1f3rzkgifv, 1, 1, 236
food, 6, 5, 236
virgin, 3, 3, 231
side, 6, 5, 231
newton, 2, 2, 226
isaac, 2, 2, 226
long, 9, 9, 221
pay, 2, 2, 220
using, 7, 6, 215
render, 2, 2, 212
let, 8, 6, 212
buildings, 2, 2, 212
try, 6, 6, 206
coming, 11, 10, 195
sure, 5, 5, 193
care, 2, 2, 193
imgurcomed43vit, 1, 1, 191
fair, 7, 3, 190
seems, 4, 3, 183
feel, 6, 6, 181
hillary, 3, 3, 180
less, 2, 2, 178
ironic, 1, 1, 177
inches, 2, 2, 177
gender, 1, 1, 177
equal, 1, 1, 177
hand, 14, 13, 173
yea, 1, 1, 166
omalley, 1, 1, 166
equality, 1, 1, 166
333, 3, 1, 166
new, 6, 6, 164
always, 9, 9, 164
tie, 1, 1, 150
thump, 5, 4, 150
upvote, 8, 8, 145
kicked, 1, 1, 143
polish, 5, 3, 142
sex, 9, 6, 135
original, 3, 3, 135
ahhhhhhhhhh, 2, 1, 134
21st, 1, 1, 134
1st, 1, 1, 134
face, 6, 6, 130
drive, 5, 5, 130
replied, 6, 5, 129
evening, 2, 2, 129
difference, 3, 3, 129
blind, 10, 9, 128
remove, 2, 1, 125
chemicals, 2, 1, 125
remember, 5, 5, 122
hate, 2, 2, 120
following, 3, 3, 119
enough, 11, 7, 119
instead, 3, 3, 116
huge, 2, 2, 114
literally, 3, 3, 113
big, 5, 5, 112
8, 6, 6, 111
penis, 5, 2, 110
inside, 4, 4, 110
nobody, 3, 3, 109
clap, 3, 3, 109
bush, 2, 2, 108
valid, 2, 2, 107
supposed, 3, 3, 107
reasons, 2, 2, 107
naked, 2, 2, 107
jeb, 1, 1, 107
hundreds, 1, 1, 106
birthday, 2, 2, 106
grandpa, 3, 2, 105
robs, 1, 1, 104
bank, 1, 1, 104
telling, 1, 1, 103
sit, 1, 1, 103
annoy, 1, 1, 103
18th, 1, 1, 103
though, 13, 12, 97
careful, 2, 2, 96
future, 3, 3, 95
together, 1, 1, 92
love, 9, 9, 91
john, 14, 3, 91
quit, 3, 3, 90
around, 6, 5, 90
cookies, 3, 2, 89
blame, 2, 2, 89
wow, 6, 3, 88
touch, 5, 2, 88
regular, 2, 1, 88
offers, 3, 1, 88
meets, 4, 1, 88
joins, 1, 1, 88
duties, 2, 1, 88
body, 2, 2, 88
abbot, 7, 1, 88
fuck, 4, 4, 87
wrong, 5, 4, 85
jesus, 2, 2, 85
beer, 2, 2, 85
tv, 3, 2, 84
strapon, 1, 1, 84
johnny, 6, 2, 84
fact, 3, 2, 84
tractor, 1, 1, 83
tip, 4, 1, 83
taking, 1, 1, 83
stares, 1, 1, 83
smugly, 1, 1, 83
sip, 1, 1, 83
shocked, 1, 1, 83
pulls, 1, 1, 83
puff, 1, 1, 83
mowing, 2, 1, 83
mow, 1, 1, 83
matterof, 1, 1, 83
lawn, 1, 1, 83
grandmother, 1, 1, 83
grandfather, 3, 1, 83
granddad, 1, 1, 83
finishes, 1, 1, 83
fascinated, 1, 1, 83
cracks, 1, 1, 83
cookie, 1, 1, 83
cigar, 1, 1, 83
break, 1, 1, 83
blankly, 1, 1, 83
hope, 5, 5, 82
use, 7, 6, 81
read, 11, 11, 80
black, 8, 8, 79
explains, 2, 2, 78
jokes, 19, 17, 77
several, 6, 5, 76
fun, 2, 2, 75
walk, 3, 3, 74
wage, 3, 3, 73
rematch, 1, 1, 73
gap, 3, 3, 73
declined, 1, 1, 73
teacher, 2, 2, 72
fan, 5, 3, 71
called, 4, 4, 71
holm, 2, 2, 70
holly, 2, 2, 70
twice, 3, 3, 69
today, 2, 2, 69
funny, 15, 14, 69
warn, 1, 1, 68
wanting, 1, 1, 68
valuable, 1, 1, 68
techniques, 1, 1, 68
technique, 1, 1, 68
spelled, 2, 2, 68
raised, 1, 1, 68
presenter, 1, 1, 68
presentation, 2, 1, 68
noticed, 1, 1, 68
maximum, 1, 1, 68
matey, 1, 1, 68
interesting, 1, 1, 68
inefficiency, 1, 1, 68
improvements, 1, 1, 68
helpful, 1, 1, 68
efficient, 1, 1, 68
efficiency, 1, 1, 68
dishwashing, 1, 1, 68
dishes, 2, 1, 68
consultant, 1, 1, 68
aye, 1, 1, 68
attendees, 1, 1, 68
advised, 1, 1, 68
advice, 1, 1, 68
add, 1, 1, 68
12, 1, 1, 68
son, 6, 6, 67
left, 6, 6, 67
gt, 9, 4, 67
third, 3, 3, 65
matter, 3, 3, 64
used, 8, 8, 63
pull, 2, 2, 63
plate, 2, 2, 63
hear, 4, 4, 63
v, 6, 6, 62
succeed, 1, 1, 62
eventually, 1, 1, 62
sais, 4, 2, 61
redistribute, 1, 1, 61
https, 8, 8, 61
campaigns, 1, 1, 61
ticket, 9, 2, 60
pun, 10, 10, 60
finish, 2, 2, 60
already, 1, 1, 60
90, 4, 3, 60
guys, 3, 3, 59
watch, 2, 2, 58
sponsored, 1, 1, 58
rpcmasterrace, 1, 1, 58
father, 2, 2, 58
fake, 1, 1, 58
factories, 1, 1, 58
everywhere, 1, 1, 58
alongside, 1, 1, 58
sunday, 7, 2, 56
running, 1, 1, 56
lawyers, 2, 2, 56
gunshot, 1, 1, 56
shaolin, 1, 1, 55
saw, 7, 7, 55
kids, 6, 5, 55
hyena, 1, 1, 55
floors, 2, 2, 55
began, 5, 5, 54
wet, 2, 2, 53
street, 6, 5, 53
begin, 3, 3, 53
wwwyoutubecomwatch, 4, 4, 52
hours, 2, 2, 52
butt, 8, 5, 52
word, 3, 3, 51
talks, 4, 2, 51
excellent, 4, 3, 51
breakfast, 2, 2, 51
baby, 8, 5, 51
club, 3, 3, 50
joined, 2, 2, 49
holding, 2, 2, 49
mitosis, 1, 1, 48
full, 3, 3, 48
local, 2, 2, 47
jump, 3, 3, 47
eyes, 2, 2, 47
easy, 2, 2, 47
copy, 2, 2, 47
written, 1, 1, 46
wracked, 1, 1, 46
wondered, 1, 1, 46
window, 2, 2, 46
vows, 1, 1, 46
vaults, 1, 1, 46
vault, 3, 1, 46
uncontrollable, 1, 1, 46
supper, 1, 1, 46
sobs, 1, 1, 46
rewriting, 1, 1, 46
retirement, 1, 1, 46
print, 1, 1, 46
poverty, 1, 1, 46
pious, 1, 1, 46
party, 3, 3, 46
often, 1, 1, 46
office, 4, 3, 46
notice, 3, 3, 46
mistakes, 1, 1, 46
missed, 1, 1, 46
leather, 1, 1, 46
humility, 1, 1, 46
honor, 2, 1, 46
feast, 2, 1, 46
entered, 1, 1, 46
doubts, 1, 1, 46
diligently, 1, 1, 46
cried, 2, 1, 46
cover, 1, 1, 46
copying, 1, 1, 46
copies, 1, 1, 46
celibacy, 1, 1, 46
celebrate, 2, 1, 46
calling, 1, 1, 46
brought, 2, 2, 46
bind, 1, 1, 46
bibles, 1, 1, 46
bible, 3, 1, 46
became, 1, 1, 46
50, 1, 1, 46
stripper, 3, 3, 45
screwed, 3, 2, 45
saint, 5, 2, 45
peter, 5, 2, 45
heroine, 2, 2, 45
christ, 1, 1, 45
yousir, 1, 1, 44
thousand, 1, 1, 44
sobut, 1, 1, 44
slip, 1, 1, 44
redneck, 2, 2, 44
reappears, 1, 1, 44
madam, 3, 1, 44
link, 2, 2, 44
joinyou, 1, 1, 44
hey, 1, 1, 44
heaven, 2, 2, 44
exclusive, 2, 1, 44
doorthe, 1, 1, 44
dollars, 1, 1, 44
brothel, 1, 1, 44
bachelor, 2, 2, 44
answered, 1, 1, 44
6, 3, 3, 44
video, 1, 1, 43
talk, 6, 5, 43
speeding, 1, 1, 43
potato, 2, 2, 43
pennies, 1, 1, 43
move, 2, 2, 43
marriage, 2, 2, 43
included, 1, 1, 43
decision, 2, 2, 43
dead, 4, 4, 43
clinton, 3, 3, 43
calmly, 2, 2, 43
boyfriends, 1, 1, 43
backpack, 1, 1, 43
author, 1, 1, 43
attractive, 2, 2, 43
187, 1, 1, 43
18000, 1, 1, 43
whipped, 1, 1, 42
waving, 1, 1, 42
unfaithful, 1, 1, 42
travels, 1, 1, 42
table, 1, 1, 42
supermarket, 1, 1, 42
spot, 3, 3, 42
reveals, 1, 1, 42
rather, 1, 1, 42
pool, 1, 1, 42
polite, 1, 1, 42
parts, 1, 1, 42
partner, 1, 1, 42
notices, 1, 1, 42
moved, 2, 2, 42
immature, 1, 1, 42
hello, 1, 1, 42
empty, 2, 2, 42
curious, 2, 2, 42
covered, 1, 1, 42
celery, 1, 1, 42
buddies, 1, 1, 42
bikini, 1, 1, 42
arms, 3, 2, 42
aback, 1, 1, 42
started, 2, 2, 41
indeed, 2, 2, 41
drink, 2, 2, 41
watches, 4, 1, 40
walls, 1, 1, 40
uses, 1, 1, 40
unhappy, 1, 1, 40
teresa, 2, 2, 40
profession, 1, 1, 40
politicians, 1, 1, 40
mankind, 1, 1, 40
lying, 2, 1, 40
lots, 2, 1, 40
lie, 1, 1, 40
hall, 1, 1, 40
farmers, 1, 1, 40
example, 1, 1, 40
everytime, 1, 1, 40
engineers, 1, 1, 40
deal, 1, 1, 40
belonged, 1, 1, 40
reunion, 1, 1, 39
poke, 2, 2, 39
na, 4, 4, 39
gon, 4, 4, 39
fantastic, 2, 2, 39
ten, 2, 2, 38
pastor, 3, 2, 38
math, 2, 2, 38
fanta, 1, 1, 38
ta, 4, 4, 37
minus, 1, 1, 37
funnier, 1, 1, 37
addict, 1, 1, 37
wjwbxbgvyqu, 1, 1, 36
wearing, 4, 4, 36
upped, 1, 1, 36
set, 3, 2, 36
refunded, 1, 1, 36
reason, 3, 3, 36
promptly, 1, 1, 36
muh, 1, 1, 36
laugh, 5, 5, 36
explaining, 1, 1, 36
emailed, 1, 1, 36
donation, 1, 1, 36
debited, 1, 1, 36
card, 1, 1, 36
campaign, 2, 1, 36
based, 1, 1, 36
500, 2, 1, 36
shut, 2, 2, 35
hurt, 3, 2, 35
teeth, 3, 1, 34
pulpit, 1, 1, 34
mob, 1, 1, 34
mistake, 1, 1, 34
mechanic, 4, 2, 34
iimgurcommbaqrpng, 1, 1, 34
gums, 2, 1, 34
fb, 1, 1, 34
false, 1, 1, 34
eight, 1, 1, 34
dentist, 1, 1, 34
congregation, 1, 1, 34
average, 3, 3, 34
expecting, 4, 4, 33
cop, 14, 2, 33
wonder, 2, 2, 32
hates, 1, 1, 32
dogs, 3, 3, 32
990, 1, 1, 32
parents, 3, 2, 31
morons, 2, 2, 31
iimgurcomgxdnxnsgif, 1, 1, 31
excited, 2, 2, 31
conductors, 2, 2, 31
blood, 2, 2, 31
40, 3, 3, 31
trap, 1, 1, 30
student, 1, 1, 30
sake, 2, 2, 30
question, 5, 4, 30
lousy, 1, 1, 30
football, 2, 1, 30
event, 1, 1, 30
driver, 6, 4, 30
draw, 1, 1, 30
carson, 1, 1, 30
ben, 1, 1, 30
beat, 2, 2, 30
basketball, 1, 1, 30
woof, 2, 1, 29
wicker, 1, 1, 29
spy, 1, 1, 29
spotting, 1, 1, 29
soldiers, 1, 1, 29
shops, 1, 1, 29
scotsman, 1, 1, 29
scimitar, 1, 1, 29
saracen, 3, 1, 29
raped, 1, 1, 29
pokes, 2, 1, 29
patrol, 1, 1, 29
paddys, 1, 1, 29
onto, 1, 1, 29
moves, 1, 1, 29
meow, 2, 1, 29
large, 1, 1, 29
isnt, 1, 1, 29
hide, 1, 1, 29
englishman, 1, 1, 29
dodging, 1, 1, 29
dash, 1, 1, 29
crusades, 1, 1, 29
content, 1, 1, 29
constantinople, 1, 1, 29
commander, 2, 1, 29
checks, 1, 1, 29
caught, 1, 1, 29
