Word, Frequency, Comment Frequency, Net Score
sp, 198, 119, 399
https, 193, 95, 305
http, 102, 93, 192
like, 41, 34, 186
best, 10, 9, 146
twismile, 8, 6, 142
dash, 13, 12, 129
pony, 23, 19, 127
would, 19, 15, 121
mine, 4, 4, 120
really, 25, 18, 112
son, 3, 2, 104
wondering, 2, 2, 103
get, 25, 18, 103
original, 3, 3, 100
iimgurcomdfdnwpljpg, 1, 1, 98
case, 1, 1, 98
anyone, 1, 1, 98
dad, 4, 4, 97
go, 18, 16, 94
love, 20, 18, 92
right, 11, 11, 90
source, 75, 75, 89
bot, 77, 77, 89
twidash, 2, 1, 88
time, 21, 17, 88
sonicxsally, 1, 1, 88
ships, 1, 1, 88
ship, 1, 1, 88
mention, 1, 1, 88
household, 1, 1, 88
chemistr, 1, 1, 88
boy, 1, 1, 88
info, 75, 74, 87
mirror, 77, 74, 85
twilight, 35, 22, 84
rdsmile, 5, 5, 84
subject, 77, 75, 83
messagecompose, 77, 75, 83
imgur, 75, 75, 83
friends, 7, 7, 83
code, 75, 75, 83
even, 11, 10, 81
report, 73, 73, 80
problems, 73, 73, 80
nmm, 73, 73, 80
nightmirrormoon, 73, 73, 80
meditonsinamp, 73, 73, 80
wwwyoutubecomwatch, 7, 6, 74
v, 7, 6, 74
know, 22, 17, 73
one, 29, 24, 72
also, 12, 10, 72
style, 4, 4, 70
rdwut, 11, 10, 70
oh, 8, 6, 69
say, 9, 9, 68
rarity, 8, 6, 68
make, 11, 10, 67
keep, 7, 5, 67
thing, 10, 9, 63
comics, 7, 5, 63
without, 7, 7, 61
something, 13, 10, 60
thought, 8, 7, 59
mean, 6, 6, 58
got, 19, 15, 58
fimflamfilosophy, 1, 1, 58
magic, 11, 8, 57
tiara, 4, 4, 56
diamond, 4, 4, 56
want, 9, 8, 55
much, 8, 7, 55
things, 8, 5, 54
everything, 8, 6, 52
villain, 3, 3, 51
sunsetshimmer, 10, 7, 51
show, 10, 9, 51
lot, 11, 9, 51
6, 3, 3, 51
number, 3, 2, 49
twistare, 8, 8, 48
spike, 9, 7, 48
see, 14, 11, 48
maud, 6, 6, 48
mark, 9, 7, 48
antagonist, 7, 5, 47
2, 8, 4, 47
little, 10, 9, 46
fall, 3, 3, 46
em, 3, 3, 46
rainbow, 13, 10, 45
human, 6, 6, 45
defeat, 4, 2, 45
could, 8, 8, 45
using, 4, 4, 44
series, 8, 6, 44
said, 11, 8, 44
pinkie, 13, 12, 44
new, 9, 9, 44
well, 12, 11, 43
obligatory, 1, 1, 43
iimgurcomzj5kpa7png, 1, 1, 43
cutie, 7, 6, 43
mostly, 2, 2, 41
fluttershy, 6, 5, 41
ended, 4, 4, 41
enough, 7, 7, 40
comic, 6, 5, 40
besides, 3, 3, 40
ponies, 9, 9, 39
cool, 4, 4, 39
ask, 6, 4, 39
twisquint, 7, 7, 38
read, 4, 4, 38
never, 10, 8, 38
5, 7, 6, 38
way, 5, 4, 37
think, 12, 11, 37
situation, 4, 2, 37
looks, 10, 8, 37
lena, 2, 2, 37
going, 12, 10, 37
etc, 2, 2, 37
discord, 3, 2, 37
autograph, 2, 2, 37
include, 5, 4, 36
great, 8, 7, 36
face, 2, 2, 36
wanted, 5, 5, 35
twibeam, 14, 10, 35
redeemed, 6, 4, 35
project, 2, 2, 35
forever, 4, 4, 35
crusaders, 5, 4, 35
stuff, 4, 4, 34
ok, 6, 5, 34
came, 3, 3, 34
voice, 2, 2, 33
people, 9, 9, 33
part, 4, 4, 33
opening, 3, 2, 33
mind, 4, 3, 33
may, 5, 4, 33
mane, 3, 3, 33
making, 4, 4, 33
character, 2, 2, 33
call, 7, 5, 33
yeah, 7, 5, 32
twiponder, 2, 2, 32
thanks, 6, 6, 32
started, 2, 2, 32
standing, 2, 2, 32
included, 2, 2, 32
humiliated, 3, 2, 32
especially, 2, 2, 32
defeated, 3, 2, 32
cmc, 3, 2, 32
wrote, 2, 2, 31
worms, 1, 1, 31
us, 4, 4, 31
twisecret, 1, 1, 31
twidaww, 3, 2, 31
tricky, 1, 1, 31
tree, 1, 1, 31
transformed, 1, 1, 31
times, 2, 1, 31
subjective, 1, 1, 31
sought, 1, 1, 31
rival, 1, 1, 31
protagonist, 1, 1, 31
possessed, 1, 1, 31
plans, 1, 1, 31
originally, 1, 1, 31
often, 1, 1, 31
oddly, 1, 1, 31
necessarily, 1, 1, 31
knowing, 1, 1, 31
karma, 1, 1, 31
humiliations, 1, 1, 31
humiliation, 1, 1, 31
humiliating, 2, 1, 31
hugger, 1, 1, 31
goals, 3, 1, 31
friendship, 3, 3, 31
fence, 1, 1, 31
exceptions, 1, 1, 31
example, 1, 1, 31
defeats, 1, 1, 31
decided, 1, 1, 31
continuity, 1, 1, 31
constitute, 1, 1, 31
complications, 1, 1, 31
complicate, 1, 1, 31
chance, 5, 4, 31
certain, 1, 1, 31
celestiamad, 3, 3, 31
bunch, 1, 1, 31
version, 2, 2, 30
use, 3, 3, 30
trixiesad, 2, 2, 30
relationship, 2, 2, 30
idw, 3, 2, 30
facehoof, 3, 3, 30
discuss, 2, 2, 30
days, 5, 5, 30
amazing, 2, 2, 30
went, 7, 6, 29
v7kpdatfxjc, 1, 1, 29
tolerate, 1, 1, 29
taken, 1, 1, 29
lost, 4, 4, 29
hoofsies, 1, 1, 29
hell, 2, 2, 29
furry, 1, 1, 29
flutterblush, 1, 1, 29
fandoms, 1, 1, 29
fan, 2, 2, 29
except, 1, 1, 29
cute, 8, 8, 29
0, 2, 2, 29
yes, 3, 3, 28
spoiler, 5, 3, 28
princess, 4, 4, 28
might, 3, 3, 28
jerk, 2, 2, 28
3, 3, 2, 28
yearn, 1, 1, 27
via, 2, 2, 27
twiprider, 1, 1, 27
twipbbt, 1, 1, 27
titans, 1, 1, 27
tell, 2, 2, 27
teen, 1, 1, 27
tara, 1, 1, 27
strong, 2, 2, 27
raven, 1, 1, 27
pains, 1, 1, 27
longtime, 1, 1, 27
link, 5, 4, 27
healthy, 1, 1, 27
burn, 1, 1, 27
yellow, 2, 2, 26
twismug, 3, 3, 26
though, 3, 3, 26
seller, 1, 1, 26
r_fqu4kzn7a, 1, 1, 26
potions, 1, 1, 26
potion, 1, 1, 26
gt, 9, 7, 26
every, 4, 4, 26
channel, 4, 2, 26
somehow, 2, 2, 25
since, 7, 7, 25
handle, 3, 3, 25
ever, 7, 5, 25
equestria, 7, 5, 25
end, 3, 3, 25
behind, 2, 2, 25
awesome, 3, 3, 25
artist, 10, 7, 25
still, 10, 10, 24
rscootablue, 2, 2, 24
recent, 2, 2, 24
lie, 2, 2, 24
finale, 7, 7, 24
dead, 6, 5, 24
abbored, 2, 2, 24
yayponies, 1, 1, 23
wwwebaycomschihtml, 1, 1, 23
woods, 1, 1, 23
title, 1, 1, 23
thread, 2, 1, 23
submissions, 1, 1, 23
state, 1, 1, 23
silverspoon, 1, 1, 23
screw, 2, 2, 23
screencaps, 1, 1, 23
sbwtf, 1, 1, 23
salvation, 1, 1, 23
relating, 1, 1, 23
relates, 1, 1, 23
rdiamondtiara, 1, 1, 23
rainbowdashshellbash, 1, 1, 23
r40amp, 1, 1, 23
preview, 1, 1, 23
place, 1, 1, 23
physical, 1, 1, 23
ongoing, 1, 1, 23
okay, 1, 1, 23
official, 1, 1, 23
mylittleponycomic, 1, 1, 23
mt, 1, 1, 23
kindle, 1, 1, 23
itunes, 1, 1, 23
issue, 1, 1, 23
installment, 1, 1, 23
information, 1, 1, 23
imgurcomauma8p, 1, 1, 23
iimgurcoml1noxwvjpg, 1, 1, 23
hopelessly, 1, 1, 23
happy, 4, 4, 23
general, 1, 1, 23
forget, 1, 1, 23
favorite, 5, 5, 23
entries, 1, 1, 23
ebay, 1, 1, 23
discussion, 3, 1, 23
digital, 1, 1, 23
copies, 2, 1, 23
compiling, 1, 1, 23
comixology, 1, 1, 23
classmates, 1, 1, 23
benefit, 1, 1, 23
awwyeah, 3, 2, 23
assuming, 1, 1, 23
amazon, 2, 1, 23
additionally, 1, 1, 23
_trksid, 1, 1, 23
_sacat, 1, 1, 23
_nkw, 1, 1, 23
_from, 1, 1, 23
39th, 1, 1, 23
39, 1, 1, 23
2339trs0amp, 1, 1, 23
2339amp, 1, 1, 23
11, 1, 1, 23
yea, 1, 1, 22
twipride, 4, 4, 22
toy, 3, 3, 22
today, 4, 4, 22
sure, 4, 4, 22
rsoawesome, 2, 1, 22
rrdsmile, 1, 1, 22
remember, 4, 4, 22
rdcry, 2, 2, 22
pie, 3, 3, 22
na, 6, 6, 22
made, 10, 9, 22
hurts, 1, 1, 22
hey, 7, 7, 22
day, 5, 3, 22
counterpart, 1, 1, 22
coco, 2, 2, 22
awesometastic, 1, 1, 22
years, 5, 4, 21
yay, 4, 3, 21
sometimes, 4, 2, 21
possible, 4, 3, 21
need, 7, 7, 21
lighting, 2, 2, 21
heard, 6, 6, 21
fluttershh, 4, 4, 21
episode, 5, 5, 21
comment, 3, 3, 21
celestia, 6, 6, 21
around, 6, 6, 21
wo, 5, 5, 20
suri, 2, 2, 20
skeptiloo, 5, 4, 20
rrdwut, 5, 5, 20
reason, 2, 2, 20
nice, 8, 8, 20
mom, 4, 4, 20
mcdonald, 5, 3, 20
irl, 1, 1, 20
idea, 10, 8, 20
god, 2, 2, 20
free, 2, 2, 20
food, 2, 2, 20
7, 2, 2, 20
wave, 9, 2, 19
twistarer, 2, 2, 19
tho, 2, 2, 19
starlight, 2, 2, 19
section, 1, 1, 19
rsunsetshimmer, 2, 2, 19
rdsalute, 4, 4, 19
priceless, 1, 1, 19
pet, 5, 5, 19
name, 3, 2, 19
meal, 2, 2, 19
cake, 5, 4, 19
better, 8, 8, 19
alicorn, 5, 4, 19
4, 4, 2, 19
1, 5, 4, 19
watch, 1, 1, 18
varies, 1, 1, 18
supposed, 1, 1, 18
stores, 1, 1, 18
store, 4, 1, 18
stock, 1, 1, 18
satisfaction, 2, 1, 18
reminders, 1, 1, 18
referring, 1, 1, 18
reaaaallly, 1, 1, 18
rdhuh, 8, 4, 18
promotion, 1, 1, 18
pommelmiss, 1, 1, 18
pommel, 1, 1, 18
polomarebuttonbelle, 1, 1, 18
pink, 2, 1, 18
ones, 3, 1, 18
mcdonalds, 1, 1, 18
list, 1, 1, 18
lastly, 1, 1, 18
hunting, 2, 1, 18
glimmer, 1, 1, 18
gets, 1, 1, 18
game, 3, 3, 18
final, 1, 1, 18
fair, 1, 1, 18
eqd, 1, 1, 18
edit, 5, 5, 18
early, 2, 1, 18
dollar, 1, 1, 18
different, 1, 1, 18
customer, 2, 1, 18
currently, 1, 1, 18
corporate, 1, 1, 18
copied, 1, 1, 18
color, 1, 1, 18
celestiawut, 4, 4, 18
ca, 8, 8, 18
box, 3, 1, 18
8, 1, 1, 18
sunset, 6, 6, 17
probably, 6, 6, 17
least, 5, 5, 17
find, 5, 5, 17
actually, 7, 6, 17
yiffer, 1, 1, 16
wow, 5, 5, 16
vahacondios, 1, 1, 16
special, 2, 2, 16
soon, 6, 4, 16
season, 7, 6, 16
ppfear, 3, 2, 16
party, 7, 5, 16
life, 8, 8, 16
huhhuh, 5, 3, 16
guess, 3, 3, 16
unless, 2, 2, 15
tank, 4, 3, 15
scootaderp, 5, 5, 15
rather, 3, 3, 15
power, 3, 3, 15
post, 4, 3, 15
ohcomeon, 1, 1, 15
kiss, 4, 4, 15
hope, 8, 7, 15
happened, 4, 4, 15
gravity, 5, 5, 15
government, 1, 1, 15
fucked, 1, 1, 15
either, 2, 2, 15
dumbfabric, 5, 5, 15
done, 8, 7, 15
chicken, 5, 4, 15
abwut, 1, 1, 15
yet, 5, 5, 14
umm, 1, 1, 14
twilights, 1, 1, 14
twidaw, 1, 1, 14
someone, 4, 4, 14
solo, 2, 2, 14
rose, 5, 5, 14
real, 4, 4, 14
good, 9, 8, 14
full, 5, 5, 14
falls, 4, 4, 14
chart, 2, 2, 14
videos, 4, 3, 13
trixie, 3, 2, 13
sister, 3, 3, 13
seem, 5, 5, 13
sad, 2, 2, 13
ice, 2, 2, 13
first, 5, 5, 13
feel, 3, 3, 13
called, 4, 4, 13
back, 11, 8, 13
applejack, 4, 4, 13
apparently, 4, 3, 13
absmile, 3, 3, 13
242553, 1, 1, 13
year, 4, 4, 12
tortoise, 3, 2, 12
second, 2, 2, 12
petirep, 2, 2, 12
mlp, 5, 5, 12
look, 6, 6, 12
let, 5, 5, 12
interesting, 4, 4, 12
head, 6, 5, 12
hate, 2, 2, 12
hall, 2, 2, 12
gon, 4, 4, 12
girls, 6, 5, 12
come, 7, 5, 12
ajsup, 3, 3, 12
wuzzat, 1, 1, 11
used, 4, 4, 11
universe, 2, 2, 11
twi, 3, 1, 11
turn, 6, 4, 11
stallion, 1, 1, 11
sparkdance, 1, 1, 11
scitwi, 1, 1, 11
rsunsetsneaky, 1, 1, 11
recently, 2, 2, 11
rdscared, 2, 2, 11
ran, 2, 2, 11
ragnaros, 1, 1, 11
purged, 1, 1, 11
necrotwi, 1, 1, 11
moonlight, 1, 1, 11
house, 3, 2, 11
hair, 4, 3, 11
fire, 1, 1, 11
far, 2, 2, 11
check, 4, 3, 11
buddies, 2, 1, 11
beyond, 2, 2, 11
based, 3, 3, 11
alicorns, 2, 2, 11
ajfrown, 3, 3, 11
according, 2, 2, 11
45, 2, 2, 11
wan, 2, 2, 10
upset, 1, 1, 10
twisad, 2, 2, 10
twiright90, 2, 2, 10
turtle, 1, 1, 10
turns, 4, 4, 10
tried, 4, 3, 10
take, 3, 3, 10
tagged, 5, 5, 10
straw, 2, 2, 10
straight, 3, 3, 10
story, 5, 4, 10
spoon, 2, 2, 10
split, 1, 1, 10
spik, 1, 1, 10
snores, 2, 2, 10
single, 2, 2, 10
silver, 2, 2, 10
rhuhhuh, 3, 3, 10
realized, 1, 1, 10
pick, 3, 3, 10
performance, 2, 2, 10
moondancer, 2, 2, 10
minutes, 3, 3, 10
macintears, 1, 1, 10
lyra, 3, 3, 10
loudly, 2, 2, 10
long, 5, 5, 10
iron, 2, 2, 10
imagine, 1, 1, 10
hiatus, 1, 1, 10
happen, 1, 1, 10
green, 3, 2, 10
gives, 4, 4, 10
dumb, 1, 1, 10
draw, 3, 3, 10
dragon, 4, 4, 10
content, 2, 2, 10
believe, 3, 3, 10
artists, 2, 2, 10
anything, 5, 4, 10
along, 2, 2, 10
airs, 1, 1, 10
admit, 1, 1, 10
warming, 1, 1, 9
truly, 1, 1, 9
touch, 1, 1, 9
told, 3, 2, 9
thoughts, 1, 1, 9
talk, 2, 2, 9
soawesome, 4, 4, 9
snapshot, 1, 1, 9
shows, 3, 3, 9
sequel, 1, 1, 9
sense, 1, 1, 9
scootaloo, 4, 4, 9
scootacheer, 3, 3, 9
safe, 4, 4, 9
rppdontintensifies, 1, 1, 9
rdhappy, 1, 1, 9
ppdontintensifies, 1, 1, 9
ppdont, 1, 1, 9
plot, 1, 1, 9
page, 4, 4, 9
ohkay, 1, 1, 9
ohhiin, 1, 1, 9
mere, 1, 1, 9
meanwhile, 1, 1, 9
looking, 2, 2, 9
living, 2, 2, 9
lighthearted, 1, 1, 9
later, 3, 3, 9
larsoooooon, 1, 1, 9
investigates, 1, 1, 9
image, 8, 4, 9
hearth, 1, 1, 9
goes, 3, 3, 9
force, 1, 1, 9
foe, 1, 1, 9
flutterbat, 1, 1, 9
everyone, 4, 4, 9
episodes, 3, 2, 9
embarrassing, 1, 1, 9
disturbing, 1, 1, 9
disturbance, 1, 1, 9
dip, 4, 1, 9
die, 1, 1, 9
device, 1, 1, 9
derpibooru, 8, 4, 9
ded, 1, 1, 9
created, 2, 2, 9
comprehension, 1, 1, 9
challenge, 1, 1, 9
bright, 1, 1, 9
basis, 1, 1, 9
away, 2, 2, 9
appreciated, 1, 1, 9
animation, 1, 1, 9
animal, 1, 1, 9
although, 1, 1, 9
alone, 2, 2, 9
adorable, 6, 6, 9
20, 2, 2, 9
website, 3, 3, 8
vincent, 1, 1, 8
various, 2, 2, 8
valid, 1, 1, 8
udoof5udz90, 1, 1, 8
tong, 1, 1, 8
thus, 2, 2, 8
swans, 1, 1, 8
summer, 2, 2, 8
strangers, 2, 2, 8
stole, 1, 1, 8
sticker, 1, 1, 8
spitfire, 1, 1, 8
spectacular, 1, 1, 8
sorry, 2, 2, 8
signed, 1, 1, 8
shirt, 2, 1, 8
scootaplease, 1, 1, 8
ready, 1, 1, 8
pretty, 3, 3, 8
peter, 1, 1, 8
person, 4, 4, 8
obvious, 1, 1, 8
moooooom, 1, 1, 8
mode, 1, 1, 8
makes, 4, 4, 8
lunateehee, 3, 3, 8
line, 1, 1, 8
jagged, 1, 1, 8
huge, 2, 2, 8
howdy, 4, 2, 8
host, 2, 2, 8
horn, 3, 3, 8
home, 2, 2, 8
holy, 2, 2, 8
